Date,Price,Open,High,Low,Change %
24-Dec-92,2.714,2.714,2.714,2.714,55287.75%
25-Dec-92,2.713,2.713,2.713,2.713,-0.04%
28-Dec-92,2.742,2.742,2.742,2.742,1.07%
29-Dec-92,2.7535,2.7535,2.7535,2.7535,0.42%
30-Dec-92,2.7545,2.7545,2.7545,2.7545,0.04%
31-Dec-92,2.763,2.763,2.763,2.763,0.31%
04-Jan-93,2.793,2.793,2.793,2.793,1.09%
05-Jan-93,2.7945,2.7945,2.7945,2.7945,0.05%
06-Jan-93,2.787,2.787,2.787,2.787,-0.27%
07-Jan-93,2.794,2.794,2.794,2.794,0.25%
08-Jan-93,2.799,2.799,2.799,2.799,0.18%
11-Jan-93,2.796,2.796,2.796,2.796,-0.11%
12-Jan-93,2.789,2.789,2.789,2.789,-0.25%
13-Jan-93,2.798,2.798,2.798,2.798,0.32%
14-Jan-93,2.7907,2.7907,2.7907,2.7907,-0.26%
15-Jan-93,2.787,2.787,2.787,2.787,-0.13%
18-Jan-93,2.795,2.795,2.795,2.795,0.29%
19-Jan-93,2.784,2.784,2.784,2.784,-0.39%
20-Jan-93,2.782,2.782,2.782,2.782,-0.07%
21-Jan-93,2.772,2.772,2.772,2.772,-0.36%
22-Jan-93,2.785,2.785,2.785,2.785,0.47%
25-Jan-93,2.771,2.771,2.771,2.771,-0.50%
26-Jan-93,2.7555,2.7555,2.7555,2.7555,-0.56%
27-Jan-93,2.769,2.769,2.769,2.769,0.49%
28-Jan-93,2.764,2.764,2.764,2.764,-0.18%
29-Jan-93,2.762,2.762,2.762,2.762,-0.07%
01-Feb-93,2.798,2.798,2.798,2.798,1.30%
02-Feb-93,2.7915,2.7915,2.7915,2.7915,-0.23%
03-Feb-93,2.804,2.804,2.804,2.804,0.45%
04-Feb-93,2.812,2.812,2.812,2.812,0.29%
05-Feb-93,2.817,2.817,2.817,2.817,0.18%
08-Feb-93,2.8141,2.8141,2.8141,2.8141,-0.10%
09-Feb-93,2.8185,2.8185,2.8185,2.8185,0.16%
10-Feb-93,2.815,2.815,2.815,2.815,-0.12%
11-Feb-93,2.8121,2.8121,2.8121,2.8121,-0.10%
12-Feb-93,2.8086,2.8086,2.8086,2.8086,-0.12%
15-Feb-93,2.8165,2.8165,2.8165,2.8165,0.28%
16-Feb-93,2.806,2.806,2.806,2.806,-0.37%
17-Feb-93,2.802,2.802,2.802,2.802,-0.14%
18-Feb-93,2.8126,2.8126,2.8126,2.8126,0.38%
19-Feb-93,2.8056,2.8056,2.8056,2.8056,-0.25%
22-Feb-93,2.802,2.802,2.802,2.802,-0.13%
23-Feb-93,2.797,2.797,2.797,2.797,-0.18%
24-Feb-93,2.789,2.789,2.789,2.789,-0.29%
25-Feb-93,2.7851,2.7851,2.7851,2.7851,-0.14%
26-Feb-93,2.795,2.795,2.795,2.795,0.36%
01-Mar-93,2.796,2.796,2.796,2.796,0.04%
02-Mar-93,2.7901,2.7901,2.7901,2.7901,-0.21%
03-Mar-93,2.7752,2.7752,2.7752,2.7752,-0.53%
04-Mar-93,2.7859,2.7859,2.7859,2.7859,0.39%
05-Mar-93,2.792,2.792,2.792,2.792,0.22%
08-Mar-93,2.8049,2.8049,2.8049,2.8049,0.46%
09-Mar-93,2.796,2.796,2.796,2.796,-0.32%
10-Mar-93,2.807,2.807,2.807,2.807,0.39%
11-Mar-93,2.8084,2.8084,2.8084,2.8084,0.05%
12-Mar-93,2.801,2.801,2.801,2.801,-0.26%
15-Mar-93,2.798,2.798,2.798,2.798,-0.11%
16-Mar-93,2.7939,2.7939,2.7939,2.7939,-0.15%
17-Mar-93,2.799,2.799,2.799,2.799,0.18%
18-Mar-93,2.7952,2.7952,2.7952,2.7952,-0.14%
19-Mar-93,2.781,2.781,2.781,2.781,-0.51%
22-Mar-93,2.7819,2.7819,2.7819,2.7819,0.03%
23-Mar-93,2.7755,2.7755,2.7755,2.7755,-0.23%
24-Mar-93,2.774,2.774,2.774,2.774,-0.05%
25-Mar-93,2.7839,2.7839,2.7839,2.7839,0.36%
26-Mar-93,2.793,2.793,2.793,2.793,0.33%
29-Mar-93,2.783,2.783,2.783,2.783,-0.36%
30-Mar-93,2.777,2.777,2.777,2.777,-0.22%
31-Mar-93,2.764,2.764,2.764,2.764,-0.47%
01-Apr-93,2.7603,2.7603,2.7603,2.7603,-0.13%
02-Apr-93,2.745,2.745,2.745,2.745,-0.55%
05-Apr-93,2.76,2.76,2.76,2.76,0.55%
06-Apr-93,2.76,2.76,2.76,2.76,0.00%
07-Apr-93,2.7625,2.7625,2.7625,2.7625,0.09%
08-Apr-93,2.761,2.761,2.761,2.761,-0.05%
09-Apr-93,2.761,2.761,2.761,2.761,0.00%
12-Apr-93,2.761,2.761,2.761,2.761,0.00%
13-Apr-93,2.7393,2.7393,2.7393,2.7393,-0.79%
14-Apr-93,2.739,2.739,2.739,2.739,-0.01%
15-Apr-93,2.7389,2.7389,2.7389,2.7389,0.00%
16-Apr-93,2.748,2.748,2.748,2.748,0.33%
19-Apr-93,2.747,2.747,2.747,2.747,-0.04%
20-Apr-93,2.74,2.74,2.74,2.74,-0.25%
21-Apr-93,2.743,2.743,2.743,2.743,0.11%
22-Apr-93,2.7409,2.7409,2.7409,2.7409,-0.08%
23-Apr-93,2.737,2.737,2.737,2.737,-0.14%
26-Apr-93,2.737,2.737,2.737,2.737,0.00%
27-Apr-93,2.723,2.723,2.723,2.723,-0.51%
28-Apr-93,2.743,2.743,2.743,2.743,0.73%
29-Apr-93,2.7309,2.7309,2.7309,2.7309,-0.44%
30-Apr-93,2.729,2.729,2.729,2.729,-0.07%
